NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1718 Entries & Exits,1617 Entries & Exits
3813,ABE,Aber,Wales - Cymru,Caerffili - Caerphilly,Caerphilly,314870,186950,105750,5066,140292,251108,227270
3801,ACY,Abercynon,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Cynon Valley,308278,194824,158394,6746,133218,298358,293638
3982,ABA,Aberdare,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Cynon Valley,300400,202800,317398,23618,230730,571746,569364
4435,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,260600,296000,25134,12572,0,37706,35960
4440,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,240400,336100,1808,698,0,2506,2140
3602,AGV,Abergavenny,Wales - Cymru,Sir Fynwy - Monmouthshire,Monmouth,330500,213600,220284,131796,84936,437016,425830
2448,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,Clwyd West,294612,378681,32514,31460,6140,70114,68632
4303,AYW,Aberystwyth,Wales - Cymru,Sir Ceredigion - Ceredigion,Ceredigion,258500,281600,145952,187834,1640,335426,327334
4236,AMF,Ammanford,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,262400,212700,12880,6496,558,19934,19428
4186,BAJ,Baglan,Wales - Cymru,Castell-nedd Port Talbot - Neath Port Talbot,Aberavon,274700,192300,15726,2878,5112,23716,23776
2471,BNG,Bangor (Gwynedd),Wales - Cymru,Gwynedd - Gwynedd,Arfon,257500,371600,189166,435804,37090,662060,657050
4011,BGD,Bargoed,Wales - Cymru,Caerffili - Caerphilly,Caerphilly,315100,200000,137826,8752,79764,226342,215054
4445,BRM,Barmouth,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,261200,315900,106174,48404,32246,186824,185586
3805,BRY,Barry,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Vale of Glamorgan,310700,167200,311868,28376,193488,533732,532602
3806,BYD,Barry Docks,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Vale of Glamorgan,312400,167800,158304,8158,79298,245760,224246
3807,BYI,Barry Island,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Vale of Glamorgan,311500,166700,279508,32936,440960,753404,711812
2449,BYC,Betws-y-Coed,Wales - Cymru,Conwy - Conwy,Aberconwy,279500,356500,19214,15922,186,35322,36286
3907,BCG,Birchgrove,Wales - Cymru,Caerdydd - Cardiff,Cardiff North,316711,180978,32798,2068,19704,54570,56326
2450,BFF,Blaenau Ffestiniog,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,269984,345894,17492,22420,20,39932,40710
2435,BOR,Bodorgan,Wales - Cymru,Sir Ynys Mon - Isle of Anglesey,Ynys Mon,238600,370200,3174,1824,554,5552,4956
4304,BRH,Borth,Wales - Cymru,Sir Ceredigion - Ceredigion,Ceredigion,260900,290100,47252,19396,520,67168,64498
3809,BGN,Bridgend,Wales - Cymru,Pen-y-bont ar Ogwr - Bridgend,Bridgend,290769,179848,652926,399452,474244,1526622,1524162
4012,BHD,Brithdir,Wales - Cymru,Caerffili - Caerphilly,Merthyr Tydfil and Rhymney,315200,202000,10738,424,3246,14408,15254
4187,BNF,Briton Ferry,Wales - Cymru,Castell-nedd Port Talbot - Neath Port Talbot,Aberavon,274200,194800,23854,2704,7310,33868,36900
2422,BCK,Buckley,Wales - Cymru,Sir y Fflint - Flintshire,Alyn and Deeside,329500,363400,34802,2730,3476,41008,47776
4317,BHR,Builth Road,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,302500,253300,4712,2746,0,7458,7672
4124,BYE,Bynea,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Llanelli,254960,199115,1408,820,0,2228,1930
3811,CAD,Cadoxton,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Vale of Glamorgan,313240,168880,192206,9956,79936,282098,287136
2536,CGW,Caergwrle,Wales - Cymru,Sir y Fflint - Flintshire,Alyn and Deeside,330950,357240,15140,1324,1336,17800,18086
3812,CPH,Caerphilly,Wales - Cymru,Caerffili - Caerphilly,Caerphilly,315650,186560,459398,38132,274400,771930,757094
4412,CWS,Caersws,Wales - Cymru,Powys - Powys,Montgomeryshire,302890,291880,36120,25598,7950,69668,64636
3680,CDT,Caldicot,Wales - Cymru,Sir Fynwy - Monmouthshire,Newport East,347400,187600,67750,10540,22958,101248,104438
3815,CDB,Cardiff Bay,Wales - Cymru,Caerdydd - Cardiff,Cardiff South and Penarth,319074,174883,595040,77142,630494,1302676,1242214
3899,CDF,Cardiff Central,Wales - Cymru,Caerdydd - Cardiff,Cardiff Central,318194,175889,5706074,3624838,3620834,12951746,12534884
3900,CDQ,Cardiff Queen Street,Wales - Cymru,Caerdydd - Cardiff,Cardiff Central,318838,176539,1706972,117150,1088242,2912364,2850984
4068,CMN,Carmarthen,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,241280,219710,230364,132522,53808,416694,426890
3820,CYS,Cathays,Wales - Cymru,Caerdydd - Cardiff,Cardiff Central,318260,177320,514334,91304,340636,946274,954372
2425,CYB,Cefn-Y-Bedd,Wales - Cymru,Sir y Fflint - Flintshire,Alyn and Deeside,331060,356230,6052,710,858,7620,6818
3774,CPW,Chepstow,Wales - Cymru,Sir Fynwy - Monmouthshire,Monmouth,353600,193700,125166,74958,53342,253466,251824
4449,CRK,Chirk,Wales - Cymru,Wrecsam - Wrexham,Clwyd South,328470,337830,43576,25754,6194,75524,71814
3785,CIM,Cilmeri,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,300440,251250,632,804,0,1436,1698
4069,CLR,Clarbeston Road,Wales - Cymru,Sir Benfro - Pembrokeshire,Preseli Pembrokeshire,201500,220940,4792,3036,0,7828,9208
4070,CUW,Clunderwen,Wales - Cymru,Sir Benfro - Pembrokeshire,Preseli Pembrokeshire,211900,219300,15016,9190,268,24474,24212
3828,CGN,Cogan,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Cardiff South and Penarth,317460,172560,198818,11438,99746,310002,317012
2451,CWB,Colwyn Bay,Wales - Cymru,Conwy - Conwy,Clwyd West,285100,379100,112728,135684,20716,269128,277642
2486,CNW,Conwy,Wales - Cymru,Conwy - Conwy,Aberconwy,278049,377466,27680,23606,5720,57006,48832
3905,COY,Coryton,Wales - Cymru,Caerdydd - Cardiff,Cardiff North,314630,180888,99714,4696,90146,194556,224794
4312,CCC,Criccieth,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,249660,338010,15930,9028,2528,27486,29600
9902,CKY,Crosskeys,Wales - Cymru,Caerffili - Caerphilly,Islwyn,322132,191943,69140,3228,50288,122656,118604
3981,CMH,Cwmbach,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Cynon Valley,302400,201300,23132,1126,3164,27422,22798
3738,CWM,Cwmbran,Wales - Cymru,Tor-faen - Torfaen,Torfaen,329800,195800,236520,57886,105354,399760,386224
4147,CYN,Cynghordy,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,280220,240677,574,596,0,1170,994
3797,DCT,Danescourt,Wales - Cymru,Caerdydd - Cardiff,Cardiff West,314447,178674,61984,3602,42692,108278,107740
2480,DGY,Deganwy,Wales - Cymru,Conwy - Conwy,Aberconwy,277900,379100,6692,3486,762,10940,9854
3901,DMG,Dinas (Rhondda),Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Rhondda,300570,191980,29362,1542,21918,52822,57814
3830,DNS,Dinas Powys,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Vale of Glamorgan,315400,171000,61286,5362,26726,93374,97050
3861,DGL,Dingle Road,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Cardiff South and Penarth,318040,171890,91278,5644,42078,139000,108090
4188,DOL,Dolau,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,313920,267110,716,656,0,1372,1528
2538,DLG,Dolgarrog,Wales - Cymru,Conwy - Conwy,Aberconwy,278309,367024,366,246,0,612,1002
2452,DWD,Dolwyddelan,Wales - Cymru,Conwy - Conwy,Aberconwy,273740,352190,2152,1290,0,3442,3918
4436,DVY,Dovey Junction,Wales - Cymru,Powys - Powys,Montgomeryshire,269690,298020,3250,1184,0,4434,4084
4455,DYF,Dyffryn Ardudwy,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,258170,323330,10982,4822,832,16636,16740
3795,EBK,Eastbrook,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Vale of Glamorgan,316260,171650,102472,5094,60232,167798,174262
9915,EBV,Ebbw Vale Parkway,Wales - Cymru,Blaenau Gwent - Blaenau Gwent,Blaenau Gwent,317539,207172,25422,3438,24358,53218,57108
3628,EBB,Ebbw Vale Town,Wales - Cymru,Blaenau Gwent - Blaenau Gwent,Blaenau Gwent,317128,209353,169308,25080,50202,244590,232206
375,ECP,Energlyn & Churchill Park,Wales - Cymru,Caerffili - Caerphilly,Caerphilly,314957,187866,46874,1674,52814,101362,86422
4416,FRB,Fairbourne,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,261600,312900,27488,11268,1756,40512,42146
3873,FRW,Fairwater,Wales - Cymru,Caerdydd - Cardiff,Cardiff West,314440,177940,45872,1940,41438,89250,77216
3862,FER,Fernhill,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Cynon Valley,303600,199560,20126,822,5200,26148,24520
4074,FYS,Ferryside,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,236600,210400,11656,4178,4252,20086,21572
4066,FFA,Ffairfach,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,262900,221200,1872,822,0,2694,2552
6680,FGW,Fishguard & Goodwick,Wales - Cymru,Sir Benfro - Pembrokeshire,Preseli Pembrokeshire,194535,238200,7080,13056,0,20136,19600
4076,FGH,Fishguard Harbour,Wales - Cymru,Sir Benfro - Pembrokeshire,Preseli Pembrokeshire,195200,239000,2512,14482,0,16994,18600
2513,FLN,Flint,Wales - Cymru,Sir y Fflint - Flintshire,Delyn,324500,373100,126128,100804,30568,257500,261094
3961,GMG,Garth (Mid-Glamorgan),Wales - Cymru,Pen-y-bont ar Ogwr - Bridgend,Ogmore,286400,189900,10666,474,1332,12472,12036
4148,GTH,Garth (Powys),Wales - Cymru,Powys - Powys,Brecon and Radnorshire,295380,249430,482,550,0,1032,974
4022,GFF,Gilfach Fargoed,Wales - Cymru,Caerffili - Caerphilly,Caerphilly,315300,199100,2980,322,1848,5150,3152
2454,GCW,Glan Conwy,Wales - Cymru,Conwy - Conwy,Aberconwy,280200,376000,1968,1074,124,3166,3566
4131,GWN,Gowerton,Wales - Cymru,Abertawe - Swansea,Gower,259240,196400,75522,31916,66658,174096,167184
3839,GTN,Grangetown (South Glamorgan),Wales - Cymru,Caerdydd - Cardiff,Cardiff South and Penarth,317455,174965,141032,7514,48698,197244,206760
4300,GWE,Gwersyllt,Wales - Cymru,Wrecsam - Wrexham,Wrexham,331900,353300,22876,1746,2180,26802,32338
4458,HRL,Harlech,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,258100,331400,37026,11058,76808,124892,113562
4079,HVF,Haverfordwest,Wales - Cymru,Sir Benfro - Pembrokeshire,Preseli Pembrokeshire,196000,215700,69956,63060,148,133164,133496
2428,HWD,Hawarden,Wales - Cymru,Sir y Fflint - Flintshire,Alyn and Deeside,331130,365860,26580,2492,3570,32642,30170
2146,HWB,Hawarden Bridge,Wales - Cymru,Sir y Fflint - Flintshire,Alyn and Deeside,331140,369500,1834,62,1400,3296,4336
3845,HHL,Heath High Level,Wales - Cymru,Caerdydd - Cardiff,Cardiff North,318111,180385,266208,14880,160060,441148,429698
3908,HLL,Heath Low Level,Wales - Cymru,Caerdydd - Cardiff,Cardiff North,318080,180300,46292,1784,20414,68490,61536
4028,HNG,Hengoed,Wales - Cymru,Caerffili - Caerphilly,Caerphilly,315400,195000,83362,4364,76848,164574,143858
2437,HHD,Holyhead,Wales - Cymru,Sir Ynys Mon - Isle of Anglesey,Ynys Mon,224800,382200,67952,144038,7758,219748,211248
2432,HPE,Hope (Clwyd),Wales - Cymru,Sir y Fflint - Flintshire,Alyn and Deeside,330700,358300,20252,1658,2720,24630,24396
4081,JOH,Johnston (Dyfed),Wales - Cymru,Sir Benfro - Pembrokeshire,Preseli Pembrokeshire,193300,210700,5846,3162,0,9008,8364
4132,KWL,Kidwelly,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Llanelli,240100,206500,14104,6110,7974,28188,29992
4083,KGT,Kilgetty,Wales - Cymru,Sir Benfro - Pembrokeshire,Carmarthen West and South Pembrokeshire,212600,207200,12156,4246,0,16402,16194
4228,KNU,Knucklas,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,325400,274100,2310,1022,122,3454,3670
4084,LAM,Lamphey,Wales - Cymru,Sir Benfro - Pembrokeshire,Carmarthen West and South Pembrokeshire,201400,200400,3612,1256,0,4868,5556
3853,LVT,Lisvane and Thornhill,Wales - Cymru,Caerdydd - Cardiff,Cardiff North,317880,183520,125400,10606,80438,216444,210170
4327,LLA,Llanaber,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,259870,318010,2480,608,230,3318,2304
4356,LBR,Llanbedr,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,257900,326900,7846,2870,624,11340,11566
4226,LLT,Llanbister Road,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,317420,271620,588,404,0,992,860
4018,LNB,Llanbradach,Wales - Cymru,Caerffili - Caerphilly,Caerphilly,314700,190100,49388,2276,47050,98714,91218
3844,LLN,Llandaf,Wales - Cymru,Caerdydd - Cardiff,Cardiff North,314830,179550,288084,20034,174704,482822,469036
4460,LDN,Llandanwg,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,257030,328630,2788,1524,0,4312,4272
4334,LLC,Llandecwyn,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,261800,337900,1064,302,520,1886,1792
4248,LLL,Llandeilo,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,263350,222620,10860,8660,0,19520,18764
4059,LLV,Llandovery,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,276320,234520,10352,6370,10,16732,15596
4227,LLO,Llandrindod,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,305930,261360,17750,22054,324,40128,40768
2484,LLD,Llandudno,Wales - Cymru,Conwy - Conwy,Aberconwy,278400,382000,137758,151036,16486,305280,296762
2485,LLJ,Llandudno Junction,Wales - Cymru,Conwy - Conwy,Aberconwy,279488,377857,129096,166822,21464,317382,320040
4247,LLI,Llandybie,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,262000,215500,6392,3694,670,10756,9382
4133,LLE,Llanelli,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Llanelli,250650,199445,191002,94386,115392,400780,413062
2488,LLF,Llanfairfechan,Wales - Cymru,Conwy - Conwy,Aberconwy,267800,375200,6406,7338,296,14040,13258
2467,LPG,Llanfairpwll,Wales - Cymru,Sir Ynys Mon - Isle of Anglesey,Ynys Mon,252600,371600,9848,8864,1892,20604,19520
4060,LLG,Llangadog,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,269960,228550,3522,2056,0,5578,5324
4162,LLM,Llangammarch,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,293630,247360,1098,684,0,1782,1996
4138,LLH,Llangennech,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Llanelli,256400,201200,2080,914,356,3350,3064
4207,LGO,Llangynllo,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,320990,273030,548,258,0,806,720
9925,LLR,Llanharan,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Ogmore,300170,183060,66892,31574,77186,175652,173626
9916,LTH,Llanhilleth,Wales - Cymru,Blaenau Gwent - Blaenau Gwent,Blaenau Gwent,321645,200783,58304,5316,20664,84284,87736
3847,LLS,Llanishen,Wales - Cymru,Caerdydd - Cardiff,Cardiff North,318110,182200,157014,9076,103478,269568,267248
2457,LWR,Llanrwst,Wales - Cymru,Conwy - Conwy,Aberconwy,280063,361693,7156,5348,102,12606,14770
4223,LAS,Llansamlet,Wales - Cymru,Abertawe - Swansea,Swansea East,269740,197540,20144,4666,6948,31758,33982
9699,LWM,Llantwit Major,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Vale of Glamorgan,297050,168900,157518,66846,74054,298418,297958
4061,LNR,Llanwrda,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,271500,231000,1130,922,0,2052,2206
4163,LNW,Llanwrtyd,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,288310,246410,3864,3066,324,7254,7484
4421,LLW,Llwyngwril,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,258920,309720,14592,6294,7674,28560,30076
3852,LLY,Llwynypia,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Rhondda,299500,193800,41168,1548,19008,61724,61348
4422,MCN,Machynlleth,Wales - Cymru,Powys - Powys,Montgomeryshire,274480,301320,77000,59926,760,137686,135990
3963,MST,Maesteg,Wales - Cymru,Pen-y-bont ar Ogwr - Bridgend,Ogmore,285520,191420,125084,13734,52712,191530,190718
3962,MEW,Maesteg (Ewenny Road),Wales - Cymru,Pen-y-bont ar Ogwr - Bridgend,Ogmore,285900,190900,3982,804,708,5494,3090
4094,MRB,Manorbier,Wales - Cymru,Sir Benfro - Pembrokeshire,Carmarthen West and South Pembrokeshire,207000,199400,6474,2872,0,9346,9428
3855,MER,Merthyr Tydfil,Wales - Cymru,Merthyr Tudful - Merthyr Tydfil,Merthyr Tydfil and Rhymney,305010,206000,304288,30176,178290,512754,550216
3857,MEV,Merthyr Vale,Wales - Cymru,Merthyr Tudful - Merthyr Tydfil,Merthyr Tydfil and Rhymney,307700,199500,32068,1408,16074,49550,52070
4095,MFH,Milford Haven,Wales - Cymru,Sir Benfro - Pembrokeshire,Preseli Pembrokeshire,190026,206183,37178,24740,834,62752,64092
4469,MFF,Minffordd,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,259940,338560,6188,2478,8512,17178,15518
4470,MFA,Morfa Mawddach,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,262800,314100,7972,2568,894,11434,10880
3859,MTA,Mountain Ash,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Cynon Valley,304940,198960,72880,4170,22644,99694,93664
4098,NAR,Narberth,Wales - Cymru,Sir Benfro - Pembrokeshire,Carmarthen West and South Pembrokeshire,212050,214710,13748,5208,10,18966,19924
4216,NTH,Neath,Wales - Cymru,Castell-nedd Port Talbot - Neath Port Talbot,Neath,275100,197500,440830,207848,168070,816748,818584
9919,NBE,Newbridge,Wales - Cymru,Caerffili - Caerphilly,Islwyn,321053,196956,83496,6908,44166,134570,135866
3674,NWP,Newport (Gwent),Wales - Cymru,Casnewydd - Newport,Newport West,330780,188245,996854,934232,765534,2696620,2614150
4426,NWT,Newtown,Wales - Cymru,Powys - Powys,Montgomeryshire,311100,291300,114162,47692,23210,185064,161722
3895,NNP,Ninian Park,Wales - Cymru,Caerdydd - Cardiff,Cardiff South and Penarth,316640,175980,71690,3418,51404,126512,125622
2455,NLR,North Llanrwst,Wales - Cymru,Conwy - Conwy,Aberconwy,279520,362260,746,1196,0,1942,1582
4250,PTF,Pantyffynnon,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Carmarthen East and Dinefwr,262300,210800,1904,1338,32,3274,4076
4140,PBY,Pembrey & Burry Port,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,Llanelli,244700,200700,67548,23794,46666,138008,145426
4101,PMB,Pembroke,Wales - Cymru,Sir Benfro - Pembrokeshire,Carmarthen West and South Pembrokeshire,199160,201130,21228,9838,0,31066,29844
4102,PMD,Pembroke Dock,Wales - Cymru,Sir Benfro - Pembrokeshire,Carmarthen West and South Pembrokeshire,197040,203550,35660,10150,416,46226,49362
4129,PNA,Penally,Wales - Cymru,Sir Benfro - Pembrokeshire,Carmarthen West and South Pembrokeshire,211820,199080,3670,1498,0,5168,5332
3863,PEN,Penarth,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Cardiff South and Penarth,318460,171420,361858,41630,223462,626950,633412
3851,PCD,Pencoed,Wales - Cymru,Pen-y-bont ar Ogwr - Bridgend,Ogmore,296000,181700,114548,43246,80386,238180,233420
4021,PGM,Pengam,Wales - Cymru,Caerffili - Caerphilly,Caerphilly,315030,197570,221058,13720,226288,461066,490342
4335,PHG,Penhelig,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,262100,296150,6556,2004,10,8570,10400
2494,PMW,Penmaenmawr,Wales - Cymru,Conwy - Conwy,Aberconwy,271821,376557,5678,5052,962,11692,12212
3992,PER,Penrhiwceiber,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Cynon Valley,306050,197670,33406,1552,9888,44846,44000
4473,PRH,Penrhyndeudraeth,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,261320,338820,11620,4576,39960,56156,56788
4463,PES,Pensarn,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,257800,328000,2068,668,0,2736,3234
3944,PTB,Pentre-Bach,Wales - Cymru,Merthyr Tudful - Merthyr Tydfil,Merthyr Tydfil and Rhymney,306000,203800,21432,980,4590,27002,22450
4254,PNY,Pen-Y-Bont,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,309900,264800,918,906,0,1824,1858
4409,PNC,Penychain,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,242800,336500,2552,1574,0,4126,3540
2433,PNF,Penyffordd,Wales - Cymru,Sir y Fflint - Flintshire,Alyn and Deeside,329540,361180,18188,1104,1394,20686,22386
4251,PTD,Pontarddulais,Wales - Cymru,Abertawe - Swansea,Gower,258790,204080,2678,2122,20,4820,5522
4023,PLT,Pontlottyn,Wales - Cymru,Caerffili - Caerphilly,Merthyr Tydfil and Rhymney,311800,206100,13116,874,4240,18230,21764
3850,PYC,Pontyclun,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Pontypridd,303460,181459,127970,59414,118452,305836,302896
2459,PYP,Pont-y-Pant,Wales - Cymru,Conwy - Conwy,Aberconwy,275280,353610,488,354,0,842,812
3744,PPL,Pontypool and New Inn,Wales - Cymru,Tor-faen - Torfaen,Torfaen,330000,200400,44822,8496,23712,77030,71832
3904,PPD,Pontypridd,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Pontypridd,307190,189800,482202,34102,347990,864294,801850
4181,PTA,Port Talbot Parkway,Wales - Cymru,Castell-nedd Port Talbot - Neath Port Talbot,Aberavon,276700,189600,264166,128456,123988,516610,504524
3870,POR,Porth,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Rhondda,302660,191350,180242,11288,163800,355330,341742
4313,PTM,Porthmadog,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,256630,339190,42236,22038,6586,70860,72120
2521,PRT,Prestatyn,Wales - Cymru,Sir Ddinbych - Denbighshire,Vale of Clwyd,306400,383100,174022,122210,36482,332714,346732
4314,PWL,Pwllheli,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,237500,335000,28474,32586,15394,76454,79502
1663,PYE,Pye Corner,Wales - Cymru,Casnewydd - Newport,Newport West,328202,187252,62218,2284,32196,96698,81342
4185,PYL,Pyle,Wales - Cymru,Pen-y-bont ar Ogwr - Bridgend,Bridgend,282297,182125,46186,25770,53454,125410,118910
3994,QYD,Quaker's Yard,Wales - Cymru,Merthyr Tudful - Merthyr Tydfil,Merthyr Tydfil and Rhymney,308600,196600,43722,2402,19866,65990,69900
3874,RDR,Radyr,Wales - Cymru,Caerdydd - Cardiff,Cardiff West,313475,180450,286934,18650,233108,538692,501696
3906,RHI,Rhiwbina,Wales - Cymru,Caerdydd - Cardiff,Cardiff North,315870,180950,64590,4318,33862,102770,90192
3876,RIA,Rhoose (Cardiff Int Airpt),Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,Vale of Glamorgan,306200,166200,91188,30042,57104,178334,181272
2544,RHO,Rhosneigr,Wales - Cymru,Sir Ynys Mon - Isle of Anglesey,Ynys Mon,232800,373800,7124,3738,696,11558,12990
2461,RHL,Rhyl,Wales - Cymru,Sir Ddinbych - Denbighshire,Vale of Clwyd,300900,381200,243186,214816,62196,520198,534460
4027,RHY,Rhymney,Wales - Cymru,Caerffili - Caerphilly,Merthyr Tydfil and Rhymney,311110,207470,107290,8596,64700,180586,191168
9920,RCA,Risca and Pontymister,Wales - Cymru,Caerffili - Caerphilly,Islwyn,324458,190233,60646,3566,35114,99326,111344
9921,ROR,Rogerstone,Wales - Cymru,Casnewydd - Newport,Newport West,326214,189069,49450,1988,39172,90610,90088
2444,RMB,Roman Bridge,Wales - Cymru,Conwy - Conwy,Aberconwy,271270,351410,218,724,0,942,744
4477,RUA,Ruabon,Wales - Cymru,Wrecsam - Wrexham,Clwyd South,330070,343820,54858,34814,5998,95670,90964
4270,SRR,Sarn,Wales - Cymru,Pen-y-bont ar Ogwr - Bridgend,Ogmore,289830,183400,36440,2292,20094,58826,60192
4108,SDF,Saundersfoot,Wales - Cymru,Sir Benfro - Pembrokeshire,Carmarthen West and South Pembrokeshire,212460,206090,4730,3272,0,8002,8384
3679,STJ,Severn Tunnel Junction,Wales - Cymru,Sir Fynwy - Monmouthshire,Newport East,346200,187600,153474,26666,86776,266916,253918
2546,SHT,Shotton,Wales - Cymru,Sir y Fflint - Flintshire,Alyn and Deeside,330750,368890,147854,47986,19226,215066,234124
4217,SKE,Skewen,Wales - Cymru,Castell-nedd Port Talbot - Neath Port Talbot,Aberavon,272380,197460,26694,3782,11216,41692,43180
4157,SUG,Sugar Loaf,Wales - Cymru,Powys - Powys,Brecon and Radnorshire,284500,244000,88,1758,0,1846,228
4222,SWA,Swansea,Wales - Cymru,Abertawe - Swansea,Swansea West,265700,193600,1007854,764004,387028,2158886,2130154
3880,TAF,Taffs Well,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Pontypridd,312510,183190,196614,12916,154344,363874,361606
4479,TAL,Talsarnau,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,261000,336100,4002,1398,0,5400,6032
4355,TLB,Talybont,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,258660,321510,17500,7340,2096,26936,28090
2463,TLC,Tal-y-Cafn,Wales - Cymru,Conwy - Conwy,Aberconwy,278720,371690,676,472,0,1148,1328
4110,TEN,Tenby,Wales - Cymru,Sir Benfro - Pembrokeshire,Carmarthen West and South Pembrokeshire,212940,200600,78118,44062,404,122584,123314
